,LicenseType,Breed,Color,DogName,OwnerZip,ExpYear,ValidDate
0,Dog Individual Spayed Female,BICHON FRISE,WHITE,CHLOE,15090,2017,12/15/2016 9:58
1,Dog Senior Citizen or Disability Spayed Female,CHIHUAHUA,WHITE/BLACK/BROWN,CHALUPA,15120,2017,3/23/2017 14:32
2,Dog Individual Spayed Female,LAB MIX,YELLOW,MIA,15133,2017,2/28/2017 10:59
3,Dog Individual Male,DACHSHUND,BLACK/BROWN/GREY,CODY,15108,2017,2/9/2017 13:40
4,Dog Individual Spayed Female,DACHSHUND,BLACK,SOPHIE,15108,2017,2/9/2017 13:40
5,Dog Senior Citizen or Disability Neutered Male,TERRIER,SPOTTED,MAX,15228,2017,1/4/2017 15:49
6,Dog Individual Female,TERRIER,TAN,SHELBY,15241,2017,12/15/2016 8:37
7,Dog Individual Spayed Female,TERRIER,TAN,SHELBY,15241,2017,12/15/2016 8:37
8,Dog Individual Spayed Female,GER SHEPHERD,BLACK/TAN,ARWEN,15218,2017,1/3/2017 13:12
9,Dog Individual Spayed Female,SCHNOODLE,GREY,RILEY,15202,2017,1/4/2017 8:39
12,Dog Senior Citizen or Disability Male,LABRADOR RETRIEVER,BLACK,LUKE,15014,2017,12/29/2016 12:14
13,Dog Senior Citizen or Disability Duplicate,LABRADOR RETRIEVER,BLACK,LUKE,15014,2017,3/20/2017 13:10
14,Dog Individual Neutered Male,SHIH TZU,BLACK/BROWN,TELLER,15146,2017,2/10/2017 13:32
15,Dog Individual Neutered Male,SHIH TZU,WHITE/TAN,JACK,15146,2017,2/10/2017 13:32
16,Dog Senior Citizen or Disability Neutered Male,OLD ENG SHEEPDOG,WHITE/GREY,MAX,15129,2017,12/12/2016 11:09
17,Dog Senior Citizen or Disability Neutered Male,MALTESE,WHITE,BAILEY,15236,2017,12/15/2016 14:50
18,Dog Senior Citizen or Disability Spayed Female,MIXED,WHITE/BLACK,RAKEISHA,15025,2017,12/19/2016 15:13
19,Dog Senior Citizen or Disability Spayed Female,CHIHUAHUA MIX,WHITE/TAN,ZEEBA,15025,2017,12/19/2016 15:13
20,Dog Individual Neutered Male,BOXER MIX,WHITE/BROWN,TYSON,15221,2017,12/20/2016 14:59
21,Dog Individual Spayed Female,MIXED,BLACK,DAISY,15147,2017,2/22/2017 14:26
22,Dog Individual Neutered Male,GER SHEPHERD MIX,BRINDLE,LUIGI,15017,2017,2/13/2017 15:02
23,Dog Senior Citizen or Disability Spayed Female,AM PIT BULL TERRIER,WHITE/BLACK,TIA,15235,2017,2/8/2017 15:41
24,Dog Individual Neutered Male,COCKER SPANIEL,BLACK,BUSTER,15024,2017,12/20/2016 8:44
26,Dog Senior Citizen or Disability Neutered Male,BICHON FRISE,WHITE,BAILEY,15146,2017,12/15/2016 16:01
27,Dog Individual Neutered Male,BEAGLE,BLACK/BROWN,LOUIE,15239,2017,1/17/2017 9:11
28,Dog Individual Neutered Male,GOLDEN RETRIEVER,GOLD,TANNER,15101,2017,1/4/2017 15:57
29,Dog Individual Spayed Female,COCKER SPANIEL MIX,SPOTTED,LEXI,15044,2017,12/12/2016 9:35
30,Dog Senior Citizen or Disability Neutered Male,W HGHLND WH TERRIER,WHITE,CHARLIE,15143,2017,12/12/2016 9:18
31,Dog Senior Citizen or Disability Male,GOLDENDOODLE,BLACK,PEPE' LE PU,15238,2017,1/9/2017 14:20
32,Dog Individual Spayed Female,SHIH TZU,WHITE/BLACK,BELLE,15065,2017,1/6/2017 9:24
33,Dog Individual Spayed Female,LHASA APSO,WHITE/BROWN,POOKIE,15137,2017,12/16/2016 8:40
34,Dog Senior Citizen or Disability Spayed Female,LHASA APSO,WHITE/BROWN,POOKIE,15137,2017,12/16/2016 8:40
35,Dog Individual Neutered Male,MIXED,BLACK/TAN,VEGAS,15236,2017,3/24/2017 8:38
36,Dog Senior Citizen or Disability Spayed Female,DACHSHUND,RED,RUBY,15216,2017,12/28/2016 16:31
37,Dog Senior Citizen or Disability Male,LABRADOR RETRIEVER,BLACK,GRISWALD,15148,2017,12/28/2016 16:31
38,Dog Senior Citizen or Disability Spayed Female,PARSON RUSSELL TERR,WHITE/BROWN,SKYLER,15137,2017,12/14/2016 9:08
39,Dog Individual Male,SIB HUSKY,WHITE/BLACK,STORM,15122,2017,3/6/2017 13:54
40,Dog Individual Spayed Female,SHIH TZU,WHITE/TAN,BONNIE,15237,2017,12/22/2016 8:56
41,Dog Senior Citizen or Disability Spayed Female,SHIH TZU,WHITE/TAN,BONNIE,15237,2017,12/22/2016 8:56
42,Dog Senior Citizen or Disability Female,SHIH TZU,WHITE/TAN,BONNIE,15237,2017,1/24/2017 14:51
43,Dog Individual Spayed Female,LHASA APSO,CREAM,MUFFIN,15243,2017,1/5/2017 10:04
44,Dog Individual Neutered Male,LABRADOR RETRIEVER,YELLOW,BUCK,15101,2017,12/16/2016 16:25
45,Dog Senior Citizen or Disability Spayed Female,PARSON RUSSELL TERR,SPOTTED,MITZE,15034,2017,3/22/2017 15:19
46,Dog Senior Citizen or Disability Spayed Female,GER SHEPHERD MIX,BLACK/BROWN,KAYLA,15120,2017,12/22/2016 16:28
47,Dog Individual Neutered Male,BORD COLLIE,WHITE/BLACK,FINNEY,15147,2017,1/5/2017 16:35
48,Dog Individual Neutered Male,MIXED,BLACK/TAN/WHITE,OTIS,15221,2017,1/18/2017 9:06
49,Dog Individual Neutered Male,LAB MIX,BLACK,BEAR,15024,2017,1/17/2017 11:26
50,Dog Individual Neutered Male,LHASA APSO,WHITE/BROWN,BRADY,15065,2017,12/30/2016 11:15
51,Dog Individual Neutered Male,BOXER MIX,WHITE/BLACK/BROWN,LARS,15229,2017,12/12/2016 9:35
52,Dog Individual Female,BORD COLLIE,WHITE/BLACK,LACEY,15146,2017,1/19/2017 15:56
53,Dog Individual Neutered Male,BRITTANY SPANIEL,WHITE,MACKENZIE,15126,2017,12/30/2016 15:41
54,Dog Senior Citizen or Disability Spayed Female,BICHON FRISE,WHITE,LISA,15037,2017,12/28/2016 16:14
55,Dog Senior Citizen or Disability Neutered Male,LAB MIX,BLACK,SAMSON,15084,2017,1/5/2017 12:50
56,Dog Individual Neutered Male,MIXED,BLACK,KODY,15102,2017,1/12/2017 16:34
57,Dog Senior Citizen or Disability Male,BOSTON TERRIER,WHITE/BLACK,TARGET,15237,2017,1/11/2017 14:40
58,Dog Senior Citizen or Disability Spayed Female,BOSTON TERRIER,WHITE/BLACK,EDWINA,15237,2017,1/11/2017 14:40
59,Dog Individual Spayed Female,SHIH TZU,WHITE/YELLOW,WEEGIE,15044,2017,12/12/2016 13:35
60,Dog Senior Citizen or Disability Spayed Female,SHIH TZU,WHITE/YELLOW,WEEGIE,15044,2017,12/12/2016 13:35
61,Dog Senior Citizen or Disability Female,DACHSHUND,BROWN,LULA,15239,2017,1/10/2017 15:54
62,Dog Senior Citizen or Disability Spayed Female,TERRIER,WHEATON,CASHELL,15101,2017,12/30/2016 8:55
63,Dog Individual Spayed Female,LABRADOR RETRIEVER,BLACK,ROSEBUD,15071,2017,1/26/2017 14:44
